file,frame_idx,t_sec,split,window
frame_0000.jpg,0,0.0,pool,
frame_0001.jpg,1,0.4,pool,
frame_0002.jpg,2,0.8,pool,
frame_0003.jpg,3,1.2,pool,
frame_0004.jpg,4,1.6,pool,
frame_0005.jpg,5,2.0,pool,
frame_0006.jpg,6,2.4,pool,
frame_0007.jpg,7,2.8,pool,
frame_0008.jpg,8,3.2,pool,
frame_0009.jpg,9,3.6,pool,
frame_0010.jpg,10,4.0,pool,
frame_0011.jpg,11,4.4,pool,
frame_0012.jpg,12,4.8,pool,
frame_0013.jpg,13,5.2,pool,
frame_0014.jpg,14,5.6,pool,
frame_0015.jpg,15,6.0,pool,
frame_0016.jpg,16,6.4,pool,
frame_0017.jpg,17,6.8,pool,
frame_0018.jpg,18,7.2,pool,
frame_0019.jpg,19,7.6,pool,
frame_0020.jpg,20,8.0,pool,
frame_0021.jpg,21,8.4,pool,
frame_0022.jpg,22,8.8,pool,
frame_0023.jpg,23,9.2,pool,
frame_0024.jpg,24,9.6,pool,
frame_0025.jpg,25,10.0,pool,
frame_0026.jpg,26,10.4,pool,
frame_0027.jpg,27,10.8,pool,
frame_0028.jpg,28,11.2,pool,
frame_0029.jpg,29,11.6,pool,
frame_0030.jpg,30,12.0,pool,
frame_0031.jpg,31,12.4,pool,
frame_0032.jpg,32,12.8,pool,
frame_0033.jpg,33,13.2,pool,
frame_0034.jpg,34,13.6,buffer,0
frame_0035.jpg,35,14.0,buffer,0
frame_0036.jpg,36,14.4,buffer,0
frame_0037.jpg,37,14.8,buffer,0
frame_0038.jpg,38,15.2,buffer,0
frame_0039.jpg,39,15.6,buffer,0
frame_0040.jpg,40,16.0,buffer,0
frame_0041.jpg,41,16.4,buffer,0
frame_0042.jpg,42,16.8,buffer,0
frame_0043.jpg,43,17.2,buffer,0
frame_0044.jpg,44,17.6,test,0
frame_0045.jpg,45,18.0,buffer,0
frame_0046.jpg,46,18.4,buffer,0
frame_0047.jpg,47,18.8,test,0
frame_0048.jpg,48,19.2,buffer,0
frame_0049.jpg,49,19.6,buffer,0
frame_0050.jpg,50,20.0,test,0
frame_0051.jpg,51,20.4,buffer,0
frame_0052.jpg,52,20.8,buffer,0
frame_0053.jpg,53,21.2,test,0
frame_0054.jpg,54,21.6,buffer,0
frame_0055.jpg,55,22.0,buffer,0
frame_0056.jpg,56,22.4,test,0
frame_0057.jpg,57,22.8,buffer,0
frame_0058.jpg,58,23.2,buffer,0
frame_0059.jpg,59,23.6,buffer,0
frame_0060.jpg,60,24.0,buffer,0
frame_0061.jpg,61,24.4,buffer,0
frame_0062.jpg,62,24.8,buffer,0
frame_0063.jpg,63,25.2,buffer,0
frame_0064.jpg,64,25.6,buffer,0
frame_0065.jpg,65,26.0,buffer,0
frame_0066.jpg,66,26.4,buffer,0
frame_0067.jpg,67,26.8,pool,
frame_0068.jpg,68,27.2,pool,
frame_0069.jpg,69,27.6,pool,
frame_0070.jpg,70,28.0,pool,
frame_0071.jpg,71,28.4,pool,
frame_0072.jpg,72,28.8,pool,
frame_0073.jpg,73,29.2,pool,
frame_0074.jpg,74,29.6,pool,
frame_0075.jpg,75,30.0,pool,
frame_0076.jpg,76,30.4,pool,
frame_0077.jpg,77,30.8,pool,
frame_0078.jpg,78,31.2,pool,
frame_0079.jpg,79,31.6,pool,
frame_0080.jpg,80,32.0,pool,
frame_0081.jpg,81,32.4,pool,
frame_0082.jpg,82,32.8,pool,
frame_0083.jpg,83,33.2,pool,
frame_0084.jpg,84,33.6,pool,
frame_0085.jpg,85,34.0,pool,
frame_0086.jpg,86,34.4,pool,
frame_0087.jpg,87,34.8,pool,
frame_0088.jpg,88,35.2,pool,
frame_0089.jpg,89,35.6,pool,
frame_0090.jpg,90,36.0,pool,
frame_0091.jpg,91,36.4,pool,
frame_0092.jpg,92,36.8,pool,
frame_0093.jpg,93,37.2,pool,
frame_0094.jpg,94,37.6,pool,
frame_0095.jpg,95,38.0,pool,
frame_0096.jpg,96,38.4,pool,
frame_0097.jpg,97,38.8,pool,
frame_0098.jpg,98,39.2,pool,
frame_0099.jpg,99,39.6,pool,
frame_0100.jpg,100,40.0,pool,
frame_0101.jpg,101,40.4,pool,
frame_0102.jpg,102,40.8,pool,
frame_0103.jpg,103,41.2,pool,
frame_0104.jpg,104,41.6,pool,
frame_0105.jpg,105,42.0,pool,
frame_0106.jpg,106,42.4,pool,
frame_0107.jpg,107,42.8,pool,
frame_0108.jpg,108,43.2,pool,
frame_0109.jpg,109,43.6,pool,
frame_0110.jpg,110,44.0,pool,
frame_0111.jpg,111,44.4,pool,
frame_0112.jpg,112,44.8,pool,
frame_0113.jpg,113,45.2,pool,
frame_0114.jpg,114,45.6,pool,
frame_0115.jpg,115,46.0,pool,
frame_0116.jpg,116,46.4,pool,
frame_0117.jpg,117,46.8,pool,
frame_0118.jpg,118,47.2,pool,
frame_0119.jpg,119,47.6,pool,
frame_0120.jpg,120,48.0,pool,
frame_0121.jpg,121,48.4,pool,
frame_0122.jpg,122,48.8,pool,
frame_0123.jpg,123,49.2,pool,
frame_0124.jpg,124,49.6,pool,
frame_0125.jpg,125,50.0,pool,
frame_0126.jpg,126,50.4,pool,
frame_0127.jpg,127,50.8,pool,
frame_0128.jpg,128,51.2,pool,
frame_0129.jpg,129,51.6,pool,
frame_0130.jpg,130,52.0,pool,
frame_0131.jpg,131,52.4,pool,
frame_0132.jpg,132,52.8,pool,
frame_0133.jpg,133,53.2,pool,
frame_0134.jpg,134,53.6,buffer,1
frame_0135.jpg,135,54.0,buffer,1
frame_0136.jpg,136,54.4,buffer,1
frame_0137.jpg,137,54.8,buffer,1
frame_0138.jpg,138,55.2,buffer,1
frame_0139.jpg,139,55.6,buffer,1
frame_0140.jpg,140,56.0,buffer,1
frame_0141.jpg,141,56.4,buffer,1
frame_0142.jpg,142,56.8,buffer,1
frame_0143.jpg,143,57.2,buffer,1
frame_0144.jpg,144,57.6,test,1
frame_0145.jpg,145,58.0,buffer,1
frame_0146.jpg,146,58.4,buffer,1
frame_0147.jpg,147,58.8,test,1
frame_0148.jpg,148,59.2,buffer,1
frame_0149.jpg,149,59.6,buffer,1
frame_0150.jpg,150,60.0,test,1
frame_0151.jpg,151,60.4,buffer,1
frame_0152.jpg,152,60.8,buffer,1
frame_0153.jpg,153,61.2,test,1
frame_0154.jpg,154,61.6,buffer,1
frame_0155.jpg,155,62.0,buffer,1
frame_0156.jpg,156,62.4,test,1
frame_0157.jpg,157,62.8,buffer,1
frame_0158.jpg,158,63.2,buffer,1
frame_0159.jpg,159,63.6,buffer,1
frame_0160.jpg,160,64.0,buffer,1
frame_0161.jpg,161,64.4,buffer,1
frame_0162.jpg,162,64.8,buffer,1
frame_0163.jpg,163,65.2,buffer,1
frame_0164.jpg,164,65.6,buffer,1
frame_0165.jpg,165,66.0,buffer,1
frame_0166.jpg,166,66.4,buffer,1
frame_0167.jpg,167,66.8,pool,
frame_0168.jpg,168,67.2,pool,
frame_0169.jpg,169,67.6,pool,
frame_0170.jpg,170,68.0,pool,
frame_0171.jpg,171,68.4,pool,
frame_0172.jpg,172,68.8,pool,
frame_0173.jpg,173,69.2,pool,
frame_0174.jpg,174,69.6,pool,
frame_0175.jpg,175,70.0,pool,
frame_0176.jpg,176,70.4,pool,
frame_0177.jpg,177,70.8,pool,
frame_0178.jpg,178,71.2,pool,
frame_0179.jpg,179,71.6,pool,
frame_0180.jpg,180,72.0,pool,
frame_0181.jpg,181,72.4,pool,
frame_0182.jpg,182,72.8,pool,
frame_0183.jpg,183,73.2,pool,
frame_0184.jpg,184,73.6,pool,
frame_0185.jpg,185,74.0,pool,
frame_0186.jpg,186,74.4,pool,
frame_0187.jpg,187,74.8,pool,
frame_0188.jpg,188,75.2,pool,
frame_0189.jpg,189,75.6,pool,
frame_0190.jpg,190,76.0,pool,
frame_0191.jpg,191,76.4,pool,
frame_0192.jpg,192,76.8,pool,
frame_0193.jpg,193,77.2,pool,
frame_0194.jpg,194,77.6,pool,
frame_0195.jpg,195,78.0,pool,
frame_0196.jpg,196,78.4,pool,
frame_0197.jpg,197,78.8,pool,
frame_0198.jpg,198,79.2,pool,
frame_0199.jpg,199,79.6,pool,
frame_0200.jpg,200,80.0,pool,
frame_0201.jpg,201,80.4,pool,
frame_0202.jpg,202,80.8,pool,
frame_0203.jpg,203,81.2,pool,
frame_0204.jpg,204,81.6,pool,
frame_0205.jpg,205,82.0,pool,
frame_0206.jpg,206,82.4,pool,
frame_0207.jpg,207,82.8,pool,
frame_0208.jpg,208,83.2,pool,
frame_0209.jpg,209,83.6,pool,
frame_0210.jpg,210,84.0,pool,
frame_0211.jpg,211,84.4,pool,
frame_0212.jpg,212,84.8,pool,
frame_0213.jpg,213,85.2,pool,
frame_0214.jpg,214,85.6,pool,
frame_0215.jpg,215,86.0,pool,
frame_0216.jpg,216,86.4,pool,
frame_0217.jpg,217,86.8,pool,
frame_0218.jpg,218,87.2,pool,
frame_0219.jpg,219,87.6,pool,
frame_0220.jpg,220,88.0,pool,
frame_0221.jpg,221,88.4,pool,
frame_0222.jpg,222,88.8,pool,
frame_0223.jpg,223,89.2,pool,
frame_0224.jpg,224,89.6,pool,
frame_0225.jpg,225,90.0,pool,
frame_0226.jpg,226,90.4,pool,
frame_0227.jpg,227,90.8,pool,
frame_0228.jpg,228,91.2,pool,
frame_0229.jpg,229,91.6,pool,
frame_0230.jpg,230,92.0,pool,
frame_0231.jpg,231,92.4,pool,
frame_0232.jpg,232,92.8,pool,
frame_0233.jpg,233,93.2,pool,
frame_0234.jpg,234,93.6,buffer,2
frame_0235.jpg,235,94.0,buffer,2
frame_0236.jpg,236,94.4,buffer,2
frame_0237.jpg,237,94.8,buffer,2
frame_0238.jpg,238,95.2,buffer,2
frame_0239.jpg,239,95.6,buffer,2
frame_0240.jpg,240,96.0,buffer,2
frame_0241.jpg,241,96.4,buffer,2
frame_0242.jpg,242,96.8,buffer,2
frame_0243.jpg,243,97.2,buffer,2
frame_0244.jpg,244,97.6,test,2
frame_0245.jpg,245,98.0,buffer,2
frame_0246.jpg,246,98.4,buffer,2
frame_0247.jpg,247,98.8,test,2
frame_0248.jpg,248,99.2,buffer,2
frame_0249.jpg,249,99.6,buffer,2
frame_0250.jpg,250,100.0,test,2
frame_0251.jpg,251,100.4,buffer,2
frame_0252.jpg,252,100.8,buffer,2
frame_0253.jpg,253,101.2,test,2
frame_0254.jpg,254,101.6,buffer,2
frame_0255.jpg,255,102.0,buffer,2
frame_0256.jpg,256,102.4,test,2
frame_0257.jpg,257,102.8,buffer,2
frame_0258.jpg,258,103.2,buffer,2
frame_0259.jpg,259,103.6,buffer,2
frame_0260.jpg,260,104.0,buffer,2
frame_0261.jpg,261,104.4,buffer,2
frame_0262.jpg,262,104.8,buffer,2
frame_0263.jpg,263,105.2,buffer,2
frame_0264.jpg,264,105.6,buffer,2
frame_0265.jpg,265,106.0,buffer,2
frame_0266.jpg,266,106.4,buffer,2
frame_0267.jpg,267,106.8,pool,
frame_0268.jpg,268,107.2,pool,
frame_0269.jpg,269,107.6,pool,
frame_0270.jpg,270,108.0,pool,
frame_0271.jpg,271,108.4,pool,
frame_0272.jpg,272,108.8,pool,
frame_0273.jpg,273,109.2,pool,
frame_0274.jpg,274,109.6,pool,
frame_0275.jpg,275,110.0,pool,
frame_0276.jpg,276,110.4,pool,
frame_0277.jpg,277,110.8,pool,
frame_0278.jpg,278,111.2,pool,
frame_0279.jpg,279,111.6,pool,
frame_0280.jpg,280,112.0,pool,
frame_0281.jpg,281,112.4,pool,
frame_0282.jpg,282,112.8,pool,
frame_0283.jpg,283,113.2,pool,
frame_0284.jpg,284,113.6,pool,
frame_0285.jpg,285,114.0,pool,
frame_0286.jpg,286,114.4,pool,
frame_0287.jpg,287,114.8,pool,
frame_0288.jpg,288,115.2,pool,
frame_0289.jpg,289,115.6,pool,
frame_0290.jpg,290,116.0,pool,
frame_0291.jpg,291,116.4,pool,
frame_0292.jpg,292,116.8,pool,
frame_0293.jpg,293,117.2,pool,
frame_0294.jpg,294,117.6,pool,
frame_0295.jpg,295,118.0,pool,
frame_0296.jpg,296,118.4,pool,
frame_0297.jpg,297,118.8,pool,
frame_0298.jpg,298,119.2,pool,
frame_0299.jpg,299,119.6,pool,
frame_0300.jpg,300,120.0,pool,
frame_0301.jpg,301,120.4,pool,
frame_0302.jpg,302,120.8,pool,
frame_0303.jpg,303,121.2,pool,
frame_0304.jpg,304,121.6,pool,
frame_0305.jpg,305,122.0,pool,
frame_0306.jpg,306,122.4,pool,
frame_0307.jpg,307,122.8,pool,
frame_0308.jpg,308,123.2,pool,
